corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	size_ratio	zen_encode_ms	lib_encode_ms	speed_ratio	zen_butter	lib_butter	butter_delta	zen_ssim2	lib_ssim2	ssim2_delta
cid22	pexels-photo-4672246.png	512	512	Default	75	4	18624	18646	0.998820	17.533	13.248	1.3235	2.9332	2.8701	0.0632	71.0395	70.7178	0.3217
cid22	1001682.png	512	512	Default	75	6	33466	33576	0.996724	45.812	35.096	1.3053	2.7007	2.8433	-0.1426	70.2868	69.8881	0.3988
cid22	1200348.png	512	512	Default	75	6	11230	11050	1.016290	22.457	16.695	1.3451	3.4038	3.2314	0.1724	72.5360	71.7142	0.8218
cid22	146083.png	512	512	Default	75	6	44970	45938	0.978928	55.628	47.241	1.1775	2.7974	2.5446	0.2529	75.4414	75.5831	-0.1417
cid22	162511.png	512	512	Default	75	6	56886	57810	0.984017	56.764	48.046	1.1815	2.4935	2.5971	-0.1036	72.5387	72.7790	-0.2403
cid22	207691.png	512	512	Default	75	6	32442	32706	0.991928	43.344	32.911	1.3170	3.1022	2.9370	0.1652	72.4308	72.4900	-0.0591
cid22	2290070.png	512	512	Default	75	6	16630	16584	1.002774	29.067	22.895	1.2696	2.8140	2.8913	-0.0773	73.4936	72.2787	1.2149
cid22	262780.png	512	512	Default	75	6	32096	33258	0.965061	44.981	37.374	1.2035	2.8612	2.9223	-0.0611	66.1746	66.7757	-0.6011
cid22	3316926_opo25u.png	512	512	Default	75	6	11910	11684	1.019343	24.278	18.950	1.2812	3.4547	3.9394	-0.4848	73.8386	73.4572	0.3814
cid22	3779828.png	512	512	Default	75	6	51380	52538	0.977959	53.410	44.920	1.1890	2.1914	2.1816	0.0098	73.6209	74.2566	-0.6357
cid22	5212582.png	512	512	Default	75	6	4766	4558	1.045634	16.290	11.535	1.4122	2.9702	4.0857	-1.1156	73.5930	73.1059	0.4871
cid22	675951.png	512	512	Default	75	6	24868	24666	1.008189	34.046	27.251	1.2494	3.1052	4.2771	-1.1719	74.9002	74.7638	0.1364
