file	width	height	preset	q	m	zen_def_b	zen_strict_b	lib_b	def_butter	strict_butter	lib_butter	def_size_ratio	strict_size_ratio	def_butter_delta	strict_butter_delta
cid22/1082342.png	512	512	Photo	75	6	33584	33578	33270	3.5390	3.1455	3.0421	1.0094	1.0093	+0.4970	+0.1035
cid22/1082342.png	512	512	Photo	90	0	61510	61510	67074	2.1953	2.1953	2.2345	0.9170	0.9170	-0.0392	-0.0392
cid22/1082342.png	512	512	Photo	90	4	61280	61364	60790	2.2918	2.2199	2.2364	1.0081	1.0094	+0.0554	-0.0165
cid22/1082342.png	512	512	Photo	90	6	60042	59860	59590	2.2912	2.2092	2.0829	1.0076	1.0045	+0.2083	+0.1263
cid22/1089930.png	512	512	Default	25	0	13180	13180	14218	7.2093	7.2093	6.4291	0.9270	0.9270	+0.7802	+0.7802
cid22/1089930.png	512	512	Default	25	4	9816	9840	9932	6.1323	6.7012	8.2624	0.9883	0.9907	-2.1302	-1.5612
cid22/1089930.png	512	512	Default	25	6	9724	9668	9594	5.7354	6.2626	7.1388	1.0136	1.0077	-1.4033	-0.8762
cid22/1089930.png	512	512	Default	75	0	25418	25418	27558	3.1259	3.1259	3.6997	0.9223	0.9223	-0.5738	-0.5738
cid22/1089930.png	512	512	Default	75	4	20334	20440	20558	3.2158	3.4357	3.3439	0.9891	0.9943	-0.1281	+0.0919
cid22/1089930.png	512	512	Default	75	6	19628	19570	19730	3.4433	3.3574	3.1912	0.9948	0.9919	+0.2522	+0.1662
cid22/1089930.png	512	512	Default	90	0	43166	43166	46980	1.7371	1.7371	1.8831	0.9188	0.9188	-0.1460	-0.1460
cid22/1089930.png	512	512	Default	90	4	43464	43056	42862	1.6260	1.6211	1.6673	1.0140	1.0045	-0.0413	-0.0462
cid22/1089930.png	512	512	Default	90	6	41460	41134	41238	1.7060	1.7397	1.6755	1.0054	0.9975	+0.0305	+0.0642
cid22/1089930.png	512	512	Photo	25	0	13192	13192	13908	7.9245	7.9245	7.7130	0.9485	0.9485	+0.2115	+0.2115
cid22/1089930.png	512	512	Photo	25	4	9916	9976	9990	6.8936	7.7782	7.9567	0.9926	0.9986	-1.0631	-0.1785
cid22/1089930.png	512	512	Photo	25	6	9672	9760	9678	7.0290	7.5876	7.1431	0.9994	1.0085	-0.1141	+0.4446
cid22/1089930.png	512	512	Photo	75	0	25396	25396	27902	3.8287	3.8287	4.0757	0.9102	0.9102	-0.2470	-0.2470
cid22/1089930.png	512	512	Photo	75	4	20212	20470	20504	3.5811	3.6146	3.5537	0.9858	0.9983	+0.0275	+0.0609
cid22/1089930.png	512	512	Photo	75	6	19542	19534	19608	3.2780	3.3651	3.6010	0.9966	0.9962	-0.3230	-0.2358
